feature,importance
doctor__doctor_recc_h1n1,0.19795989658861038
ord_noenc__opinion_h1n1_risk,0.09180594026860923
ord_noenc__opinion_h1n1_vacc_effective,0.0741146116227688
bin_noenc__chronic_med_condition,0.04297377309817589
ord_noenc__opinion_seas_risk,0.042972435634973744
bin_noenc__health_worker,0.03846950629661033
bin_noenc__behavioral_large_gatherings,0.03699307544643328
ord_noenc__h1n1_knowledge,0.03406649710702467
bin_enc__1,0.03240307243392293
nom_enc__race_White,0.02708299926771731
nom_enc__employment_status_Not in Labor Force,0.0254491975971604
ord_noenc__opinion_seas_vacc_effective,0.022658110706378826
doctor__doctor_recc_seasonal,0.01607254431736408
ord_noenc__opinion_h1n1_sick_from_vacc,0.014465102319466891
ord_noenc__h1n1_concern,0.013903271380821173
ord_enc__education,0.012948674090014852
emp__employment_industry_fcxhlnwr,0.012715438380567302
bin_enc__0,0.012534070538364549
bin_noenc__behavioral_face_mask,0.011298663208893195
"nom_enc__census_msa_MSA, Principle City",0.011220480853556324
emp__employment_industry_haxffmxo,0.009435485595066706
ord_enc__age_group,0.008928522778957084
nom_enc__hhs_geo_region_lzgpxyit,0.00803449138466627
bin_noenc__child_under_6_months,0.00730002527459037
emp__employment_occupation_dlvbwzss,0.0068770194015620205
ord_noenc__opinion_seas_sick_from_vacc,0.006847102699327527
nom_enc__hhs_geo_region_mlyzmhmf,0.006778577792247595
bin_enc__2,0.006752436511664805
nom_enc__hhs_geo_region_oxchjgsf,0.0063889914295473475
emp__employment_industry_wxleyezf,0.005803728276174238
bin_noenc__health_insurance,0.005683206976857114
bin_noenc__behavioral_outside_home,0.005533396036694189
emp__employment_occupation_mxkfnird,0.005360934072773294
emp__employment_occupation_emcorrxb,0.004554093330454528
emp__employment_occupation_hodpvpew,0.004514716485908456
nom_enc__hhs_geo_region_bhuqouqj,0.0043819280785278025
num__household_children,0.00420895226566269
nom_enc__hhs_geo_region_fpwskwrf,0.004168991034041807
emp__employment_industry_pxcmvdjn,0.004161074697791266
emp__employment_industry_arjwrbjb,0.004150205047994694
ord_enc__income_poverty,0.0041224820565191255
bin_noenc__behavioral_antiviral_meds,0.003998139397906529
emp__employment_occupation_xzmlyyjv,0.003997439288133483
nom_enc__census_msa_Non-MSA,0.0037124077557239895
bin_noenc__behavioral_wash_hands,0.003657567497004606
emp__employment_occupation_uqqtjvyb,0.003448180955433617
emp__employment_industry_ldnlellj,0.003312848405869451
nom_enc__hhs_geo_region_kbazzjca,0.0032294231345340765
nom_enc__race_Other or Multiple,0.003200909413124807
emp__employment_industry_cfqqtusy,0.0031912165702898832
bin_noenc__behavioral_avoidance,0.003149270732048098
emp__employment_industry_saaquncn,0.003139598724319364
emp__employment_occupation_kldqjyjy,0.0031057567382838263
emp__employment_occupation_tfqavkke,0.003075268953319437
emp__employment_occupation_hfxkjkmi,0.0030344482108118896
emp__employment_occupation_bxpfxfdn,0.0030319281670644523
emp__employment_occupation_oijqvulv,0.0030006160147660076
nom_enc__hhs_geo_region_lrircsnp,0.002976704843621631
emp__employment_industry_atmlpfrs,0.0027926472645174137
emp__employment_occupation_xgwztkwe,0.0027525409402293314
num__household_adults,0.0026040313156144405
emp__employment_occupation_qxajmpny,0.0026002533837089785
emp__employment_industry_wlfvacwt,0.002583739930388786
emp__employment_industry_xicduogh,0.0025201803052417463
nom_enc__hhs_geo_region_qufhixun,0.0024939172773517037
emp__employment_occupation_ccgxvspp,0.002476981599349452
nom_enc__hhs_geo_region_dqpwygqj,0.0023658022093919124
nom_enc__race_Hispanic,0.002325845245202418
emp__employment_industry_rucpziij,0.0022975067395054416
emp__employment_industry_dotnnunm,0.002253632775352304
remainder__respondent_id,0.0022249290277335703
nom_enc__employment_status_Unemployed,0.002212196267597973
emp__employment_occupation_rcertsgn,0.0021413669475683966
emp__employment_occupation_xtkaffoo,0.0019850634870863444
emp__employment_industry_nduyfdeo,0.0019834608155746883
emp__employment_occupation_cmhcxjea,0.001967382389230719
emp__employment_industry_vjjrobsf,0.001802188739552794
emp__employment_occupation_vlluhbov,0.0017535046271489945
bin_noenc__behavioral_touch_face,0.0015073815259343698
emp__employment_industry_msuufmds,0.0
emp__employment_industry_mcubkhph,0.0
emp__employment_industry_mfikgejo,0.0
emp__employment_industry_phxvnwax,0.0
emp__employment_occupation_dcjcmpih,0.0
emp__employment_industry_qnlwzans,0.0
emp__employment_industry_xqicxuve,0.0
emp__employment_occupation_haliazsg,0.0
emp__employment_occupation_pvmttkik,0.0
emp__employment_occupation_ukymxvdu,0.0
emp__employment_occupation_xqwwgdyp,0.0
