feature,importance
ord_noenc__opinion_seas_vacc_effective,0.2004786564004012
doctor__doctor_recc_seasonal,0.0882808383742569
ord_noenc__opinion_seas_risk,0.08261081476557616
ord_enc__age_group,0.06828481385168092
doctor__doctor_recc_h1n1,0.049741653546705844
bin_noenc__health_worker,0.04769481260310594
emp__employment_industry_fcxhlnwr,0.029463904177732106
bin_enc__2,0.02497117569613582
ord_noenc__opinion_seas_sick_from_vacc,0.021967280673070202
ord_noenc__h1n1_knowledge,0.021749319772589565
bin_noenc__health_insurance,0.021377091364469396
emp__employment_industry_haxffmxo,0.020702876549306488
nom_enc__race_White,0.01601887707518587
ord_enc__income_poverty,0.014183841276185301
ord_enc__education,0.013035452866774749
bin_noenc__behavioral_touch_face,0.010762474883272807
bin_noenc__chronic_med_condition,0.009946106042576461
emp__employment_occupation_cmhcxjea,0.009027312575531615
ord_noenc__opinion_h1n1_risk,0.00835333026482372
num__household_children,0.007351236063724807
nom_enc__employment_status_Not in Labor Force,0.00686696456047417
emp__employment_occupation_tfqavkke,0.006344967205049192
emp__employment_occupation_qxajmpny,0.006198532291455295
emp__employment_industry_wxleyezf,0.006148371058765596
nom_enc__race_Hispanic,0.006087154640109858
ord_noenc__opinion_h1n1_sick_from_vacc,0.006008684386543528
bin_enc__0,0.005990053564041619
emp__employment_industry_mfikgejo,0.0056934472299138925
emp__employment_industry_arjwrbjb,0.005541157613620959
nom_enc__hhs_geo_region_lzgpxyit,0.005335634098004428
ord_noenc__opinion_h1n1_vacc_effective,0.00529410278929315
nom_enc__hhs_geo_region_qufhixun,0.005046771364837829
bin_noenc__child_under_6_months,0.004999548106546023
nom_enc__employment_status_Unemployed,0.004988316938759726
emp__employment_industry_rucpziij,0.004744032124404552
bin_noenc__behavioral_antiviral_meds,0.004580843260478337
emp__employment_occupation_uqqtjvyb,0.004574653430668285
nom_enc__hhs_geo_region_lrircsnp,0.004556041849914376
emp__employment_occupation_oijqvulv,0.004425594824560509
emp__employment_industry_cfqqtusy,0.004343989368679277
nom_enc__race_Other or Multiple,0.00431353128507279
ord_noenc__h1n1_concern,0.004275374497917177
emp__employment_industry_xqicxuve,0.004167896507499932
bin_enc__1,0.004136089497184629
emp__employment_occupation_xgwztkwe,0.004135377953378344
nom_enc__hhs_geo_region_bhuqouqj,0.00404311136649534
nom_enc__hhs_geo_region_oxchjgsf,0.003997665965544872
bin_noenc__behavioral_face_mask,0.003942533547085182
emp__employment_industry_ldnlellj,0.0038869204857952173
emp__employment_industry_vjjrobsf,0.003781651287700579
nom_enc__hhs_geo_region_mlyzmhmf,0.0037749792115812533
emp__employment_occupation_haliazsg,0.003773408203030927
emp__employment_occupation_ukymxvdu,0.0037363020954901158
emp__employment_occupation_dlvbwzss,0.003685647793007893
remainder__respondent_id,0.003663843284695079
emp__employment_occupation_bxpfxfdn,0.003628810475501369
emp__employment_industry_atmlpfrs,0.003519614357335539
emp__employment_occupation_xzmlyyjv,0.003473012447156265
num__household_adults,0.003441258752517715
emp__employment_occupation_xtkaffoo,0.003410734525402475
emp__employment_occupation_hfxkjkmi,0.0033568682540482207
bin_noenc__behavioral_outside_home,0.003269232113647693
emp__employment_industry_msuufmds,0.0032527840269346406
emp__employment_industry_saaquncn,0.0032087388640209906
"nom_enc__census_msa_MSA, Principle City",0.0031476142445380074
nom_enc__census_msa_Non-MSA,0.003122894410968176
bin_noenc__behavioral_avoidance,0.0030976466319375686
emp__employment_occupation_emcorrxb,0.002996470915295255
emp__employment_occupation_vlluhbov,0.002923668158254702
emp__employment_occupation_mxkfnird,0.002800956516032087
nom_enc__hhs_geo_region_fpwskwrf,0.002714267630850856
bin_noenc__behavioral_wash_hands,0.002693324992500584
bin_noenc__behavioral_large_gatherings,0.0026840721169306323
nom_enc__hhs_geo_region_kbazzjca,0.002584799529426537
nom_enc__hhs_geo_region_dqpwygqj,0.002401882261622859
emp__employment_industry_nduyfdeo,0.002179628647424136
emp__employment_industry_wlfvacwt,0.0017210727382023791
emp__employment_industry_mcubkhph,0.0012855848787454982
emp__employment_industry_pxcmvdjn,0.0
emp__employment_industry_phxvnwax,0.0
emp__employment_industry_dotnnunm,0.0
emp__employment_industry_xicduogh,0.0
emp__employment_occupation_ccgxvspp,0.0
emp__employment_occupation_dcjcmpih,0.0
emp__employment_industry_qnlwzans,0.0
emp__employment_occupation_hodpvpew,0.0
emp__employment_occupation_rcertsgn,0.0
emp__employment_occupation_pvmttkik,0.0
emp__employment_occupation_kldqjyjy,0.0
emp__employment_occupation_xqwwgdyp,0.0
